WBgeneID,wormbase_gseq,wikigene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj
WBGene00000003,F07C3.7,aat-2,92.07500156089007,-1.1555994915219696,0.9087174157669591,0.00197676953781882,0.03266156882977697
WBGene00000004,F52H2.2,aat-3,117.82424300419682,0.006447800428389396,0.28002058989890405,0.967118286583564,0.9877296053950908
WBGene00000007,T11F9.4,aat-6,973.4961771280008,-0.28902846793355225,0.26289518798158096,0.09200987346089184,0.3151882360784456
WBGene00000015,Y38H6C.22,abf-4,2.3651343079009224,-0.013394153202609307,0.5878644659405233,0.8702736815912373,NA
WBGene00000022,Y39D8C.1,abt-4,2204.344961338333,-2.7621919192525e-4,0.2664596779859181,0.9986038286332086,0.9996529245764996
WBGene00000024,AC3.3,abu-1,145.23284307265868,-0.16065813858286487,0.6484761442686757,0.18914473693378703,0.46367261328538695
WBGene00000027,Y5H2A.3,abu-4,8.907104347725602,-0.36919926472326675,1.0927737060823548,0.028309056143129695,0.16235508944777874
WBGene00000029,C03A7.7,abu-6,240.8635109799298,-0.19981359485320177,0.625203468308683,NA,NA
WBGene00000030,C03A7.8,abu-7,218.703497895323,-0.09639865097447801,0.592628018933257,NA,NA
WBGene00000031,C03A7.14,abu-8,611.5409761125861,-0.10985563510308058,0.5586765931947032,0.34272981582022355,0.6190550385054447
WBGene00000033,F35A5.3,abu-10,150.25915874588947,-0.13347665944023987,0.5459277206200038,0.2892985310832098,0.5705231706821443
WBGene00000049,R02E12.8,acr-10,6.134762957799152,-0.010688955246705129,0.49572803079102035,0.919177268020855,NA
WBGene00000054,F25G6.4,acr-15,32.68811270464415,-0.11401731856200743,0.3937381260844831,0.4275431413555554,0.6891968709159273
WBGene00000055,F25G6.3,acr-16,22.267984753844054,-0.17880360544162263,0.5261547614804145,0.21261311566130703,0.4900530577830409
WBGene00000056,F53E10.2,acr-17,9.783252642917871,0.0873152502773433,0.45821722256245034,0.4898826891344016,0.7329733657648724
WBGene00000057,F28F8.1,acr-18,12.260047456099825,0.04998522584366709,0.5091452321050173,0.6422066914822289,0.8256592808382369
WBGene00000062,F59B1.9,acr-23,2.5160992568182414,-0.04404357772523204,0.5693688166215298,0.6341322577488064,NA
WBGene00000063,T04C12.6,act-1,4076.2560373366236,-0.3912528471191036,0.3178832572412821,0.036804346938244956,0.18974247161960436
WBGene00000064,T04C12.5,act-2,4296.798891803619,0.08164240158273643,0.24065381944079783,0.6076572153887505,0.8064721306742413
WBGene00000065,T04C12.4,act-3,4308.525778843226,-0.5375777977055579,0.34647783131017085,0.008623250176852903,0.08002804057994568
WBGene00000069,C10F3.3,acy-2,20.614160042599487,-0.2648160410012913,0.5198205781388068,0.11775825080952726,0.36253603232763926
