wbps_gene_id,wormbase_gseq,wikigene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
WBGene00000111,T08B1.3,alh-5,527.1471190564762,-3.1803107681210587,0.40366627488701007,-6.639917513226248,3.138587459847755e-11,1.1692510688254448e-8
WBGene00000233,R11G10.1,avr-15,52.5737694793344,3.7917440410128367,0.7914005740363153,4.159390514748082,3.190979305012675e-5,0.002443581041127484
WBGene00000251,C09G5.6,bli-1,1859.1920178804796,15.288074051096558,1.6283718381223495,9.08150933643538,1.0707949433398023e-19,1.3418034089996213e-16
WBGene00000252,F59E12.12,bli-2,1015.8786267101127,6.063141696500691,1.0625061159298972,5.235867928752459,1.6421134855947482e-7,2.7603527177363425e-5
WBGene00000256,Y73B6BL.34,bli-6,714.4032154193915,13.906490757007415,3.6016799432278024,3.722288201153322,1.9742549508372035e-4,0.010154153075500005
WBGene00000298,F32G8.6,cat-4,2445.26695861521,3.71567093050378,0.5437884399220757,5.9134595265846075,3.3499587207291853e-9,8.879967501255979e-7
WBGene00000403,B0034.3,casy-1,477.1772066040804,2.2279064363704393,0.44848277906593914,3.8527821290466764,1.167832959981923e-4,0.007091369832771289
WBGene00000499,Y60A3A.12,chk-2,99.70416106581834,2.5726965862772286,0.5975757359969005,3.4685086114138666,5.233557534684892e-4,0.019927999187319488
WBGene00000501,C48D1.3,cho-1,29.2171513855296,3.2616189266915008,0.8270810571601537,3.338994289355062,8.408229282321573e-4,0.026953263355237345
WBGene00000592,F08H9.1,coh-3,219.24544016613368,1.755630389692377,0.3251352080543188,3.8618714878845264,1.1252175420054563e-4,0.006862831238496995
WBGene00000615,F54C9.4,col-38,1113.7022171557728,7.751696141623077,1.7238708704693875,4.206635349461259,2.5920086973843535e-5,0.0020533475795830995
WBGene00000626,K09H9.3,col-49,403.7570113923905,5.958066914855557,0.7543902561991802,7.235070800562506,4.652863407375587e-13,2.788481269881091e-10
WBGene00000639,ZK265.2,col-63,409.69460543285476,13.072532866374107,1.975201586525074,6.365189736655017,1.9504847105621666e-10,6.401305059616406e-8
WBGene00000647,Y49F6B.10,col-71,1518.8584211672337,6.04904567750931,0.5689227574344075,9.753601178713744,1.7803810490815996e-22,6.135193095135192e-19
WBGene00000655,C09G5.3,col-79,249.4283115484945,3.4095930756960926,0.8646351380540966,3.3651108399830627,7.6512915888895e-4,0.025910008655170843
WBGene00000677,F56B3.1,col-103,999.9051399705048,3.9650964435524667,0.6890469529616556,5.028824855343775,4.934948884142129e-7,7.475091804287374e-5
WBGene00000684,F19C7.7,col-110,415.2609732476003,4.687247120526683,0.7135062157676856,5.868550305509927,4.396220188450206e-9,1.1221759088444009e-6
WBGene00000711,C52D10.13,col-138,871.3583369557322,8.48620090653214,1.439555174459482,5.547686568894982,2.894742014247078e-8,5.4659073869016055e-6
WBGene00000748,C35B8.1,col-175,507.212175716005,10.490536119793058,1.438405766444178,6.945561782952413,3.769572054772654e-12,1.7319927067662087e-9
WBGene00000749,ZC373.7,col-176,610.9061507484181,5.88653805353982,1.2962261199227163,4.155554320924328,3.244998331588182e-5,0.0024576404946489833
WBGene00000754,W03G11.1,col-181,21.958783761920483,8.877587387650005,2.3993177787847726,3.491653945019804,4.8003974606334574e-4,0.018751629481538874
WBGene00000770,C40H1.1,cpb-1,544.3045654591916,2.049736718428608,0.37421868748268283,4.141259563635027,3.454038177308733e-5,0.002570174604992442
WBGene00000771,C30B5.3,cpb-2,65.11393196949197,3.892276482646859,1.0724830677604245,3.16301169185884,0.0015614606042129442,0.04116065673320903
WBGene00000772,B0414.5,cpb-3,554.5034649458454,1.9129695641555435,0.38231734404732565,3.695802940032554,2.1919294252815556e-4,0.010803243043210651
WBGene00000777,F43G9.9,cpn-1,705.5199968899769,1.25905147770894,0.23278090209635346,3.2607979042660076,0.001110991938168655,0.03293314596928331
WBGene00000781,C52E4.1,cpr-1,11775.311143357916,-2.428686264758067,0.43248257329514694,-4.4595698968009945,8.21242883520838e-6,8.14058254997666e-4
WBGene00000929,K07E3.3,dao-3,797.6452897983265,-1.7507872909797682,0.3008112197287171,-4.158047336491555,3.209795208170975e-5,0.002444409787261255
WBGene00001052,F15A8.5,dop-1,18.616006165486787,5.518482336051631,1.61759361848357,3.102437026647187,0.0019193437868281447,0.04666002602758227
WBGene00001068,F16F9.2,dpy-6,336.43097137351884,4.707790707632492,0.957426452927214,4.394897064696393,1.108252563869539e-5,0.0010252451906293775
WBGene00001155,T05G5.6,ech-6,7959.2102596741,-2.079652362834667,0.1892451026734763,-8.347124129072977,6.994519603953293e-17,6.427497214726146e-14
WBGene00001172,C51E3.7,egl-3,796.6594051973157,2.1854813738208465,0.4851609522620527,3.4740664226218643,5.126341148708012e-4,0.019573818945648542
WBGene00001214,F26A3.3,ego-1,515.5411242823295,1.884522223509766,0.29941907141809543,4.624028178807892,3.763587045153289e-6,4.2873788289580936e-4
WBGene00001386,F02A9.3,far-2,8475.544573790336,1.6702813172879345,0.37183984745072496,3.1472724758016057,0.0016480130903115152,0.042699647437695346
WBGene00001392,K02F3.3,far-8,353.3249616377922,3.122440493121289,0.540824334414433,4.848969112975815,1.2410474133599244e-6,1.6448651486301153e-4
WBGene00001397,W06D12.3,fat-5,891.4827342095597,-7.313592589325723,0.7048022189118084,-9.667382432259773,4.1485288258924023e-22,9.530553556016813e-19
WBGene00001398,VZK822L.1,fat-6,5717.398736996003,-2.3892278636557864,0.27053102505832194,-6.983405556713877,2.8810915241980664e-12,1.4183201989123623e-9
WBGene00001399,F10D2.9,fat-7,39.82721571763836,-6.381530248206591,1.1670910434756294,-5.039478523193213,4.6680200636771754e-7,7.149332061969577e-5
WBGene00001402,F21H12.5,fbf-2,321.6754998157909,1.4566204089248607,0.25683109950609284,3.7247062788132737,1.9554276276734133e-4,0.010132937751823431
WBGene00001410,Y54F10AM.2,feh-1,133.13049233417325,3.056143539748237,0.6768020665704726,3.776796298363661,1.5885855046241502e-4,0.008829460724088422
